经度,纬度,发生时间
118.92761,31.92705,20150621  10:47:09
118.93761,31.91705,20150621  12:59:00
118.94761,31.90705,20150623  8:19:00
118.95761,31.80705,20150624  14:52:00
118.96761,31.81705,20150624  19:47:00
118.97761,31.82705,20150625  16:01:00
118.98761,31.83705,20150626  5:13:00
118.99761,31.84705,20150626  8:00:00
118.22761,31.85705,20150626  10:33:00
118.23761,31.86705,20150626  20:10:00
118.33761,31.87705,20150628  10:11:00
118.25761,31.88705,20150628  11:15:00
118.26761,31.89705,20150628  11:30:00
118.27761,31.70705,20150630  22:33:00
118.28761,31.71705,20150701  5:11:00
118.29761,31.72705,20150701  7:11:00
118.30761,31.73705,20150701  11:59:00
118.31761,31.74705,20150701  20:11:00
118.32761,31.75705,20150701  21:12:00
118.33761,31.76705,20150702  23:41:00
118.34761,31.77705,20150703  9:23:00
118.81761,31.78705,20150705  12:31:00
118.36761,31.71705,20150705  12:50:00
118.37761,31.98705,20150706  7:30:00
118.37761,31.97705,20150706  11:30:00
118.39761,31.96705,20150706  19:27:00
118.40761,31.95705,20150706  20:31:00
118.41761,31.94705,20150706  20:40:00
118.52761,31.93705,20150706  20:58:00
118.53761,31.92705,20150708  8:08:00
118.81761,31.91705,20150710  14:25:00
118.29761,31.90705,20150711  21:10:00
118.81761,31.80705,20150711  22:58:00
118.82761,31.81705,20150711  22:58:00
118.83761,31.82705,20150712  10:25:00
118.84761,31.43705,20150713  10:40:00
118.85761,31.44705,20150713  11:30:00
118.86761,31.45705,20150714  22:33:00
118.88761,31.46705,20150715  5:11:00
118.89761,31.47705,20150715  7:11:00
118.90761,31.48705,20150715  11:59:00
118.91761,31.49705,20150715  20:11:00
118.92761,31.50705,20150715  21:12:00
118.93761,31.70705,20150715  23:41:00
118.94761,31.71705,20150716  9:23:00
118.95761,31.72705,20150716  12:31:00
118.96761,31.73705,20150716  12:50:00
118.97761,31.43705,20150718  19:22:00
